iter	RMSE
0	0.9877965626
1	0.9750354701
2	0.9612525083
3	0.9495766655
4	0.9350724254
5	0.9213609344
6	0.9099951133
7	0.8964640433
8	0.8864179934
9	0.875834809
10	0.863284916
11	0.851291663
12	0.8410949667
13	0.8314214002
14	0.8196375258
15	0.8037045806
16	0.7923854176
17	0.7827324804
18	0.7737314091
19	0.7645216155
20	0.7540899309
21	0.7450651108
22	0.7382017295
23	0.7291760915
24	0.7193894146
25	0.7115220089
26	0.704532263
27	0.6962167729
28	0.6881642439
29	0.6828027564
30	0.6774666117
31	0.6667209997
32	0.6589667529
33	0.6529052916
34	0.6477504106
35	0.640570709
36	0.6329894253
37	0.626421588
38	0.6182927486
39	0.6103429713
40	0.6027737714
41	0.5959679286
42	0.5899514151
43	0.5852589251
44	0.5792765997
45	0.5714458989
46	0.5640054933
47	0.5565150957
48	0.5520804106
49	0.5452086359
50	0.5400686874
51	0.5361363126
52	0.5311146734
53	0.5267284183
54	0.5193355047
55	0.5138057348
56	0.50721049
57	0.5003438613
58	0.4967745627
59	0.4932696309
60	0.4871771438
61	0.4819167419
62	0.4760340805
63	0.4710743089
64	0.4661694198
65	0.4614334263
66	0.4570935235
67	0.4523618123
68	0.4478377293
69	0.4436805963
70	0.4387748129
71	0.4334429089
72	0.4288202622
73	0.4244654272
74	0.4198605448
75	0.4146801899
76	0.4118182177
77	0.407857259
78	0.4050254833
79	0.4017396651
80	0.39772263
81	0.393076054
82	0.3889892838
83	0.3852753572
84	0.3817342895
85	0.3782664646
86	0.3726424885
87	0.370026168
88	0.3656814098
89	0.3614602644
90	0.358290601
91	0.3548824556
92	0.3518108826
93	0.3483540196
94	0.3448129154
95	0.3414969189
96	0.3384054409
97	0.3358212493
98	0.333207998
99	0.3279284634
100	0.3232377577
101	0.3214947042
102	0.3189471915
103	0.314772296
104	0.312454093
105	0.3100428483
106	0.3072890555
107	0.3050163026
108	0.3011198792
109	0.2985985375
110	0.2960013075
111	0.2942468486
112	0.2912359157
113	0.2887216699
114	0.2864149248
115	0.2849891068
116	0.2825156803
117	0.2789884841
118	0.2769265913
119	0.274838741
120	0.2721006405
121	0.2695989017
122	0.2663612811
123	0.2631914361
124	0.2616798464
125	0.2586287624
126	0.2557300744
127	0.2527000406
128	0.2492887265
129	0.2471795652
130	0.2454333012
131	0.2416675007
132	0.2392489146
133	0.2372070218
134	0.2356039404
135	0.2341522885
136	0.2326598049
137	0.2302488729
138	0.228044037
139	0.2250759944
140	0.2230504707
141	0.2215406383
142	0.2195642203
143	0.2183517957
144	0.2169941254
145	0.2153320248
146	0.212742154
147	0.2111493742
148	0.2089739589
149	0.2073553056
150	0.2055487647
151	0.2045209153
152	0.2025493344
153	0.2008992818
154	0.2001596572
155	0.1982089471
156	0.1973881124
157	0.1955340585
158	0.1943237735
159	0.192604111
160	0.1916392803
161	0.1905254663
162	0.1887139835
163	0.1875612385
164	0.1857417804
165	0.1840170644
166	0.1823681319
167	0.1815455244
168	0.1795112042
169	0.1782987482
170	0.1765969063
171	0.1748064551
172	0.1726291011
173	0.1714296826
174	0.1704887058
175	0.1686647719
176	0.1672328314
177	0.166004329
178	0.1645556475
179	0.163792657
180	0.1624779572
181	0.1616142059
182	0.1599235421
183	0.158613101
184	0.1575040147
185	0.1569515822
186	0.1549001898
187	0.1540849945
188	0.1527121699
189	0.1515026812
190	0.150615666
191	0.1499677409
192	0.148543045
193	0.1481939276
194	0.1469784754
195	0.1464301456
196	0.1453978921
197	0.1438431284
198	0.1430436953
199	0.1422817609
200	0.141405801
201	0.1399933789
202	0.1390167082
203	0.1381544593
204	0.1375686011
205	0.1364699579
206	0.1348147123
207	0.1340360962
208	0.1327567174
209	0.1317834854
210	0.1304585406
211	0.1295814005
212	0.1286479649
213	0.1270823898
214	0.1263962546
215	0.1257379853
216	0.1251337828
217	0.1246486892
218	0.1239288503
219	0.1229752522
220	0.1226034172
221	0.1214940199
222	0.1201823897
223	0.1197766155
224	0.11894037
225	0.1181417893
226	0.1176301113
227	0.1162648494
228	0.1159178023
229	0.1155415135
230	0.1146781783
231	0.113525614
232	0.1131297588
233	0.1123201789
234	0.1121853677
235	0.1114809288
236	0.1112003177
237	0.1106282269
238	0.1104307666
239	0.1094938466
240	0.1085051911
241	0.1078922407
242	0.1076510493
243	0.1072213737
244	0.1069740502
245	0.1066559758
246	0.1061411086
247	0.1058984394
248	0.105676223
249	0.1055027433
250	0.1053295603
251	0.1045804039
252	0.1035305291
253	0.1031629007
254	0.1029076319
255	0.1023135352
256	0.1020810536
257	0.1016405996
258	0.1012676618
259	0.100427008
260	0.1002703815
261	0.09942783171
262	0.09922923325
263	0.09866904884
264	0.09812689797
265	0.09793777016
266	0.09686513916
267	0.09636318045
268	0.09617884131
269	0.09608674389
270	0.09521925638
271	0.0950344823
272	0.094252678
273	0.09409034398
274	0.09390882288
275	0.09313392177
276	0.09213710983
277	0.09200998502
278	0.09137429317
279	0.09121652353
280	0.09089346266
281	0.09072324378
282	0.09046334239
283	0.09032476486
284	0.09016397881
285	0.09006288228
286	0.08994688704
287	0.08913108719
288	0.08884719569
289	0.08806030441
290	0.08779959224
291	0.08768541377
292	0.08697998664
293	0.08628360285
294	0.08622176077
295	0.08543832896
296	0.08462555967
297	0.08440730163
298	0.08377627648
299	0.0836702607
300	0.08294888424
301	0.08284040892
302	0.08277092224
303	0.08229840154
304	0.08190220101
305	0.08176844931
306	0.08164775038
307	0.08157046061
308	0.08114097348
309	0.08049397223
310	0.08043102686
311	0.08006149892
312	0.07993770995
313	0.07983682522
314	0.07971230003
315	0.07921482709
316	0.0791502056
317	0.07907637654
318	0.07864370284
319	0.07854585784
320	0.07824277904
321	0.07787794612
322	0.07769444893
323	0.07756143233
324	0.07712140766
325	0.07698246998
326	0.07686893685
327	0.07630822471
328	0.07570434331
329	0.07512387763
330	0.07464991
331	0.07455623999
332	0.07443747301
333	0.07411658103
334	0.07395438096
335	0.0738424779
336	0.07340956259
337	0.07336962485
338	0.07327182717
339	0.07282158927
340	0.07241996596
341	0.07219505253
342	0.07175272502
343	0.07166929841
344	0.0715988659
345	0.07113233828
346	0.07065103739
347	0.07057848412
348	0.07049628705
349	0.07020690975
350	0.07012266288
351	0.06976379573
352	0.06969594956
353	0.0695595976
354	0.06913046356
355	0.06892487481
356	0.06862129927
357	0.06846540701
358	0.06839594113
359	0.06795601203
360	0.06762418092
361	0.06730473266
362	0.06710603414
363	0.06704046536
364	0.06677093802
365	0.06650346029
366	0.06620244959
367	0.06587535985
368	0.06552838629
369	0.06515393064
370	0.06491797326
371	0.0646799827
372	0.06451839481
373	0.06412533458
374	0.06406177935
375	0.06381862367
376	0.0636042702
377	0.06323861444
378	0.06299806754
379	0.06262540347
380	0.06256554615
381	0.06239349333
382	0.06196013904
383	0.06164609076
384	0.06132736435
385	0.06094783556
386	0.06068455819
387	0.06039078987
388	0.06003050032
389	0.05995308355
390	0.05969161703
391	0.05950523688
392	0.05932410496
393	0.05907600107
394	0.05883278504
395	0.05853699826
396	0.05849200702
397	0.05816820878
398	0.05806949825
399	0.05777919926
400	0.05741869353
401	0.05737840199
402	0.05729843239
403	0.05699513482
404	0.05660295277
405	0.05636898155
406	0.05632658818
407	0.05607281894
408	0.0557023144
409	0.05554161349
410	0.05533575194
411	0.05519196321
412	0.05494229217
413	0.05490184314
414	0.05464329389
415	0.05458705929
416	0.05434891069
417	0.05420456255
418	0.05401374929
419	0.05383050893
420	0.05361867806
421	0.05340923795
422	0.05317808613
423	0.05313653918
424	0.05284936151
425	0.05269804987
426	0.05250236128
427	0.05236531294
428	0.05224669776
429	0.05208058944
430	0.0520407334
431	0.05199583581
432	0.05172947334
433	0.05154654125
434	0.05142053942
435	0.05131039331
436	0.05097836248
437	0.05094305209
438	0.05070775869
439	0.05050106377
440	0.05039353973
441	0.05017302037
442	0.05002725507
443	0.04981736863
444	0.04971255646
445	0.04965047276
446	0.0494882066
447	0.04936061699
448	0.04916472627
449	0.04895898024
450	0.04883560447
451	0.04860024672
452	0.04841000026
453	0.04811847246
454	0.04797833984
455	0.0478325081
456	0.04780321993
457	0.04768348264
458	0.04760500128
459	0.04743385472
460	0.04732591411
461	0.04714587798
462	0.04691506904
463	0.04664671488
464	0.04643535463
465	0.04616632256
466	0.04598630178
467	0.04586842729
468	0.04576141497
469	0.04564104006
470	0.04546046842
471	0.04522954941
472	0.0450436056
473	0.04501466744
474	0.04474384963
475	0.04451642768
476	0.04428727139
477	0.04424967463
478	0.04412172677
479	0.0438375107
480	0.04363545329
481	0.04349664193
482	0.04327425055
483	0.04308347975
484	0.04292129795
485	0.04276249762
486	0.04253390844
487	0.04233987707
488	0.0421251867
489	0.04191920632
490	0.04171828879
491	0.04153419727
492	0.041323778
493	0.04129497603
494	0.04106515193
495	0.04088676596
496	0.04073344955
497	0.04071040801
498	0.04054190045
499	0.0403662049
500	0.04009577851
501	0.03995193665
502	0.03973459784
503	0.03951535187
504	0.03937670106
505	0.03925470453
506	0.03903061745
507	0.03886729025
508	0.03870916682
509	0.03849708162
510	0.03831177286
511	0.03826899571
512	0.03807982242
513	0.03804434418
514	0.03786901236
515	0.03775867691
516	0.03766710036
517	0.03753986521
518	0.03744309488
519	0.03728707556
520	0.03713919826
521	0.03711303934
522	0.03688796279
523	0.03669677106
524	0.03654309724
525	0.03634243374
526	0.03619514961
527	0.03613464534
528	0.03593737413
529	0.03575156293
530	0.03555277563
531	0.03539881168
532	0.03522398946
533	0.03508081463
534	0.03492891916
535	0.0347414372
536	0.03459231898
537	0.03450380297
538	0.03436125113
539	0.03426575908
540	0.03415832279
541	0.03398012875
542	0.03386479347
543	0.03372991901
544	0.03366624349
545	0.0335925934
546	0.03343977864
547	0.03327691483
548	0.03315432961
549	0.03301506236
550	0.0328889366
551	0.03275551126
552	0.03258956331
553	0.0324679699
554	0.0323484156
555	0.03220634533
556	0.03213632472
557	0.03204734156
558	0.03200801461
559	0.0319005744
560	0.03180596871
561	0.03163283124
562	0.03159735415
563	0.03150799943
564	0.03139529088
565	0.03136713961
566	0.03124064842
567	0.031089978
568	0.03106474498
569	0.03105274471
570	0.0309564364
571	0.0308539917
572	0.03068841515
573	0.03059156431
574	0.03048208252
575	0.03039143698
576	0.03022456573
577	0.03014245921
578	0.03001694014
579	0.02992005643
580	0.02975252361
581	0.02956668734
582	0.02942898587
583	0.02935907093
584	0.02922529024
585	0.0291068118
586	0.02900648814
587	0.02898260952
588	0.02895657119
589	0.02885730643
590	0.02877333689
591	0.02866039386
592	0.02859825529
593	0.02853568037
594	0.02843168418
595	0.0283410317
596	0.02818784207
597	0.02801550403
598	0.02789769333
599	0.02775175091
600	0.02771430324
601	0.02759481742
602	0.02751968295
603	0.02743646402
604	0.02730946943
605	0.02720662353
606	0.02716682362
607	0.0270860258
608	0.02705525801
609	0.02694674716
610	0.02679834409
611	0.02673545562
612	0.026647275
613	0.02655993905
614	0.02647434419
615	0.02644746571
616	0.0263518443
617	0.02626460662
618	0.02616275584
619	0.02604315201
620	0.02594217755
621	0.02582264951
622	0.02570622642
623	0.02559642095
624	0.02546631477
625	0.02544280729
626	0.02532457707
627	0.02521604558
628	0.02515250717
629	0.02500406347
630	0.02491992347
631	0.0248156661
632	0.02473635005
633	0.02464129068
634	0.0245582888
635	0.02445284409
636	0.02437408475
637	0.02425170652
638	0.02417101388
639	0.02408623864
640	0.02398795825
641	0.02391262969
642	0.02381924098
643	0.02374111434
644	0.02367164245
645	0.0235726352
646	0.02348774042
647	0.02340698186
648	0.02337724242
649	0.02329087923
650	0.02318856717
651	0.02310495926
652	0.02301249007
653	0.02297490167
654	0.02288560218
655	0.02279730889
656	0.02269487745
657	0.0226013624
658	0.02247843747
659	0.0224173733
660	0.02228986311
661	0.02222706053
662	0.02211268701
663	0.0220323744
664	0.02198486776
665	0.02193674665
666	0.02184022303
667	0.02176137404
668	0.0216734796
669	0.02160122496
670	0.0215123957
671	0.02143933967
672	0.02142329501
673	0.02135262088
674	0.0212854889
675	0.02122204088
676	0.02113712811
677	0.02103456868
678	0.02102464678
679	0.02095365389
680	0.02084999463
681	0.02078118631
682	0.02068586483
683	0.02056124509
684	0.02046481847
685	0.02037057321
686	0.02031274654
687	0.020221592
688	0.02016707076
689	0.02009980174
690	0.02000281119
691	0.0199408369
692	0.01991744696
693	0.01985241986
694	0.01978090707
695	0.01975978938
696	0.0196753088
697	0.01963788317
698	0.01955818479
699	0.01947586296
700	0.01938786435
701	0.01933047738
702	0.01927540111
703	0.01921157366
704	0.01914003985
705	0.0190466486
706	0.0189607158
707	0.01888911141
708	0.01881455182
709	0.01874334094
710	0.01866808075
711	0.01860475859
712	0.01857399953
713	0.01852612824
714	0.01844302855
715	0.01835169391
716	0.01830508969
717	0.01821868555
718	0.01813727371
719	0.01807388743
720	0.01799061898
721	0.01794954857
722	0.01785892258
723	0.01779812175
724	0.01773813688
725	0.01765977003
726	0.01759306269
727	0.01754972814
728	0.01749174001
729	0.01744633392
730	0.01737052698
731	0.01734512567
732	0.01732641973
733	0.01728514142
734	0.01726235238
735	0.0171934615
736	0.01710463369
737	0.01699200964
738	0.01693997297
739	0.0169296935
740	0.01691738499
741	0.01685026858
742	0.01678415894
743	0.01670718268
744	0.01665095074
745	0.01662693334
746	0.01653933331
747	0.01648252627
748	0.01643545299
749	0.01638106739
750	0.01629639375
751	0.01627656197
752	0.01623048457
753	0.01622380148
754	0.01617003668
755	0.01615870372
756	0.01612553279
757	0.01610697133
758	0.01608523557
759	0.01599058212
760	0.01590418371
761	0.01581374614
762	0.01574860524
763	0.01567350095
764	0.01566663516
765	0.01561260588
766	0.01555839766
767	0.01549880022
768	0.01543741011
769	0.01541061699
770	0.01538100395
771	0.01535828048
772	0.0152615062
773	0.01518388429
774	0.0151191935
775	0.01507160732
776	0.01504124195
777	0.01498514534
778	0.01491761928
779	0.01484921257
780	0.0147935068
781	0.01475835434
782	0.01471920979
783	0.01466633711
784	0.01461518096
785	0.01458009786
786	0.0145363369
787	0.01449262498
788	0.01444393968
789	0.01440950974
790	0.01434241344
791	0.0143162991
792	0.0142813059
793	0.01421901594
794	0.01417373115
795	0.01410793402
796	0.01405498764
797	0.01400911042
798	0.01396578178
799	0.01390158256
800	0.01387463144
801	0.01382701682
802	0.01381319736
803	0.01378000073
804	0.0137150382
805	0.01365708799
806	0.01365153639
807	0.01363396296
808	0.01360680406
809	0.0135590532
810	0.01350242153
811	0.01346407386
812	0.01340129322
813	0.01334907945
814	0.01329961117
815	0.01325775279
816	0.01323363431
817	0.01318431645
818	0.01314684755
819	0.01310977781
820	0.01307112006
821	0.01304087157
822	0.01298868123
823	0.01293716325
824	0.01288361015
825	0.01285383814
826	0.0128400424
827	0.01279537735
828	0.01273496392
829	0.01268502929
830	0.01267641243
831	0.01264289629
832	0.01259704205
833	0.01256007988
834	0.01252345174
835	0.01251249297
836	0.01246600137
837	0.01242889148
838	0.01239185887
839	0.01234409652
840	0.01229942606
841	0.01226667063
842	0.01223239379
843	0.01220164966
844	0.012171347
845	0.01211140103
846	0.0120900877
847	0.01204449314
848	0.01201296049
849	0.01197038786
850	0.01191993495
851	0.01185750049
852	0.01181362284
853	0.01178309857
854	0.01171335468
855	0.01170538701
856	0.0116548846
857	0.01164275765
858	0.01163567459
859	0.01160788357
860	0.0115825719
861	0.01154058631
862	0.0115088883
863	0.01148294734
864	0.01143921818
865	0.01138692365
866	0.01133965263
867	0.01130098644
868	0.0112485062
869	0.01122982921
870	0.01119559479
871	0.01117830786
872	0.01116073153
873	0.01113429128
874	0.01110471109
875	0.01106581758
876	0.01102343996
877	0.01101665713
878	0.01099320997
879	0.01094135499
880	0.01090629587
881	0.01088022099
882	0.01084342155
883	0.01079719636
884	0.01076254756
885	0.0107130798
886	0.01069794025
887	0.01066929915
888	0.01063988137
889	0.01059038909
890	0.01057283857
891	0.01056295721
892	0.0105361204
893	0.0105008068
894	0.01045359558
895	0.01041322329
896	0.01038305074
897	0.01036853327
898	0.01032273142
899	0.01027419502
900	0.01024288984
901	0.01023492951
902	0.01021154699
903	0.01019527002
904	0.01017280492
905	0.01013986631
906	0.01011127604
907	0.01006711884
908	0.01002480136
909	0.01001634934
910	0.009980000769
911	0.009964100043
912	0.009944506052
913	0.009933430771
914	0.009884223374
915	0.009862057302
916	0.009837081402
917	0.009788592767
918	0.009763864703
919	0.009721502664
920	0.009704740639
921	0.009674870022
922	0.00962746748
923	0.00959321703
924	0.009587041676
925	0.009540878568
926	0.009501387416
927	0.009496765896
928	0.009476571704
929	0.009436933314
930	0.009395271357
931	0.009362494904
932	0.009323899727
933	0.009306042826
934	0.009290522305
935	0.009268715923
936	0.009234353221
937	0.009225641447
938	0.009178693966
939	0.009131272666
940	0.009101711983
941	0.009088194168
942	0.009051653329
943	0.009010815046
944	0.008976061463
945	0.008935646644
946	0.00889283347
947	0.008872313341
948	0.008843175868
949	0.00881181531
950	0.008800913258
951	0.008792326314
952	0.008773474302
953	0.008745338554
954	0.008712268358
955	0.008676714978
956	0.008641957286
957	0.008604644179
958	0.008585296768
959	0.008549755334
960	0.008524926235
961	0.008507889933
962	0.008486267888
963	0.008461000903
964	0.00842715117
965	0.008388596865
966	0.00835687689
967	0.008343679156
968	0.008314826998
969	0.008297947661
970	0.008282063494
971	0.008253631668
972	0.008230330101
973	0.008218550551
974	0.008193995467
975	0.008180863213
976	0.008144410585
977	0.008110738657
978	0.008080945261
979	0.008054795073
980	0.008023166203
981	0.007992542418
982	0.007977581455
983	0.007957966735
984	0.007944058403
985	0.007914995689
986	0.007898497712
987	0.007892829962
988	0.007864467803
989	0.007841066967
990	0.007830432903
991	0.00778721022
992	0.00775369169
993	0.00773249817
