iter	Passed	Remaining
0	7	7444
1	14	7230
2	20	6766
3	26	6688
4	32	6562
5	39	6507
6	48	6848
7	55	6878
8	63	7002
9	70	7008
10	80	7255
11	87	7225
12	95	7274
13	102	7251
14	110	7278
15	117	7228
16	125	7239
17	132	7210
18	138	7173
19	146	7196
20	153	7164
21	160	7131
22	167	7103
23	176	7158
24	182	7110
25	191	7167
26	214	7744
27	226	7876
28	232	7800
29	239	7750
30	246	7698
31	252	7629
32	258	7565
33	263	7496
34	270	7453
35	276	7391
36	281	7328
37	288	7300
38	294	7252
39	302	7256
40	309	7231
41	315	7187
42	321	7163
43	328	7139
44	336	7146
45	342	7104
46	348	7068
47	354	7038
48	360	6998
49	366	6972
50	372	6936
51	378	6899
52	386	6901
53	391	6864
54	398	6845
55	404	6819
56	410	6789
57	417	6782
58	423	6751
59	429	6729
60	435	6710
61	441	6684
62	448	6671
63	454	6643
64	460	6621
65	467	6609
66	472	6580
67	479	6570
68	485	6552
69	491	6529
70	498	6520
71	504	6498
72	510	6480
73	516	6467
74	522	6442
75	529	6439
76	536	6425
77	542	6410
78	548	6389
79	554	6372
80	560	6362
81	567	6354
82	573	6333
83	579	6323
84	585	6302
85	591	6289
86	597	6274
87	603	6257
88	611	6257
89	618	6249
90	625	6252
91	632	6245
92	639	6237
93	645	6218
94	650	6198
95	657	6190
96	664	6185
97	670	6167
98	676	6160
99	682	6142
100	688	6130
101	695	6119
102	700	6101
103	707	6097
104	713	6080
105	720	6073
106	727	6075
107	733	6062
108	739	6048
109	745	6032
110	751	6019
111	758	6012
112	764	6000
113	771	5992
114	777	5980
115	782	5966
116	789	5960
117	795	5944
118	802	5937
119	810	5941
120	818	5947
121	825	5943
122	834	5946
123	841	5947
124	849	5948
125	857	5950
126	864	5945
127	872	5946
128	879	5939
129	886	5936
130	893	5928
131	901	5927
132	909	5925
133	916	5922
134	922	5913
135	929	5907
136	936	5897
137	943	5891
138	950	5888
139	956	5876
140	962	5864
141	969	5860
142	975	5847
143	982	5840
144	988	5827
145	994	5816
146	1001	5809
147	1006	5795
148	1013	5788
149	1019	5775
150	1025	5763
151	1030	5749
152	1036	5740
153	1043	5734
154	1049	5723
155	1055	5711
156	1064	5715
157	1071	5708
158	1078	5702
159	1083	5688
160	1089	5677
161	1096	5671
162	1102	5659
163	1108	5651
164	1114	5640
165	1120	5628
166	1127	5623
167	1134	5616
168	1140	5609
169	1146	5598
170	1152	5586
171	1159	5580
172	1164	5568
173	1171	5563
174	1180	5563
175	1187	5558
176	1194	5554
177	1201	5549
178	1210	5549
179	1216	5543
180	1223	5537
181	1230	5531
182	1237	5524
183	1244	5517
184	1252	5518
185	1259	5510
186	1265	5499
187	1272	5494
188	1278	5487
189	1285	5478
190	1291	5470
191	1297	5458
192	1304	5453
193	1310	5442
194	1315	5431
195	1321	5420
196	1328	5413
197	1335	5409
198	1341	5401
199	1347	5390
200	1354	5386
201	1360	5375
202	1367	5369
203	1373	5358
204	1379	5351
205	1386	5345
206	1393	5337
207	1399	5330
208	1405	5320
209	1411	5309
210	1417	5301
211	1423	5290
212	1429	5281
213	1435	5273
214	1441	5262
215	1447	5254
216	1453	5245
217	1459	5234
218	1466	5229
219	1472	5219
220	1478	5211
221	1485	5206
222	1491	5197
223	1499	5192
224	1504	5182
225	1510	5173
226	1515	5162
227	1521	5152
228	1527	5143
229	1533	5135
230	1539	5124
231	1546	5119
232	1551	5108
233	1557	5100
234	1564	5093
235	1570	5083
236	1576	5076
237	1583	5068
238	1588	5059
239	1595	5053
240	1602	5046
241	1608	5037
242	1613	5027
243	1619	5018
244	1626	5013
245	1633	5007
246	1641	5003
247	1647	4994
248	1652	4984
249	1659	4979
250	1665	4969
251	1671	4961
252	1678	4954
253	1683	4945
254	1690	4938
255	1697	4933
256	1703	4925
257	1709	4915
258	1714	4906
259	1721	4898
260	1727	4890
261	1732	4880
262	1739	4874
263	1745	4864
264	1750	4856
265	1757	4850
266	1763	4840
267	1770	4835
268	1776	4827
269	1782	4818
270	1789	4812
271	1795	4804
272	1801	4796
273	1808	4790
274	1813	4781
275	1820	4775
276	1826	4766
277	1831	4756
278	1838	4750
279	1844	4741
280	1850	4733
281	1856	4726
282	1861	4717
283	1869	4712
284	1874	4703
285	1880	4694
286	1887	4688
287	1892	4679
288	1899	4673
289	1905	4665
290	1911	4656
291	1918	4650
292	1923	4641
293	1929	4633
294	1935	4626
295	1941	4617
296	1948	4611
297	1954	4603
298	1960	4596
299	1967	4590
300	1973	4582
301	1979	4575
302	1985	4567
303	1991	4560
304	1997	4552
305	2003	4543
306	2008	4534
307	2017	4532
308	2024	4527
309	2031	4520
310	2036	4511
311	2042	4504
312	2049	4498
313	2055	4489
314	2062	4484
315	2067	4475
316	2073	4467
317	2080	4461
318	2085	4453
319	2091	4444
320	2097	4436
321	2102	4427
322	2109	4420
323	2116	4415
324	2121	4406
325	2128	4401
326	2134	4392
327	2140	4385
328	2146	4378
329	2152	4370
330	2159	4365
331	2165	4356
332	2171	4349
333	2177	4342
334	2183	4334
335	2189	4326
336	2195	4319
337	2201	4311
338	2208	4306
339	2214	4299
340	2220	4291
341	2226	4284
342	2232	4276
343	2240	4271
344	2246	4265
345	2255	4262
346	2263	4259
347	2272	4257
348	2281	4256
349	2291	4254
350	2298	4250
351	2307	4247
352	2314	4242
353	2323	4240
354	2332	4237
355	2341	4235
356	2348	4230
357	2360	4233
358	2370	4233
359	2380	4231
360	2388	4228
361	2397	4225
362	2405	4221
363	2413	4216
364	2420	4211
365	2427	4204
366	2435	4200
367	2441	4193
368	2451	4192
369	2459	4187
370	2467	4183
371	2474	4177
372	2481	4171
373	2488	4164
374	2495	4158
375	2501	4151
376	2507	4143
377	2514	4137
378	2522	4132
379	2529	4127
380	2535	4118
381	2540	4110
382	2547	4104
383	2553	4096
384	2559	4088
385	2566	4081
386	2571	4073
387	2577	4066
388	2583	4058
389	2589	4050
390	2596	4043
391	2601	4035
392	2608	4028
393	2614	4021
394	2620	4013
395	2626	4006
396	2633	4000
397	2639	3992
398	2646	3985
399	2651	3977
400	2658	3970
401	2664	3963
402	2669	3955
403	2675	3947
404	2681	3939
405	2686	3930
406	2693	3924
407	2699	3916
408	2705	3909
409	2711	3902
410	2717	3894
411	2723	3887
412	2730	3881
413	2736	3873
414	2743	3866
415	2748	3858
416	2755	3852
417	2761	3844
418	2767	3836
419	2772	3829
420	2778	3821
421	2784	3813
422	2791	3807
423	2796	3799
424	2803	3793
425	2809	3785
426	2815	3777
427	2822	3771
428	2827	3763
429	2835	3758
430	2843	3754
431	2849	3746
432	2856	3740
433	2861	3732
434	2868	3725
435	2873	3717
436	2879	3709
437	2886	3703
438	2892	3695
439	2897	3688
440	2904	3681
441	2910	3674
442	2916	3667
443	2922	3659
444	2928	3652
445	2935	3646
